IdGeografia,País,Ciudad
63,Canada,Shawnee
286,Estados Unidos,Gilbert
84,Canada,Mississauga
203,Francia,Paris
23,Australia,Gold Coast
573,Estados Unidos,Baytown
535,Estados Unidos,Albany
49,Canada,Cliffside
239,Reino Unido,Gloucestershire
260,Reino Unido,Milton Keynes
485,Estados Unidos,Odessa
135,Alemania,Salzgitter
255,Reino Unido,London
146,Alemania,Frankfurt am Main
111,Canada,Sainte-Foy
591,Estados Unidos,San Antonio
265,Reino Unido,Peterborough
618,Estados Unidos,Issaquah
522,Estados Unidos,New York
542,Estados Unidos,Lake Oswego
304,Estados Unidos,Canoga Park
138,Alemania,Berlin
352,Estados Unidos,Palo Alto
317,Estados Unidos,El Segundo
341,Estados Unidos,Modesto
365,Estados Unidos,San Ysidro
412,Estados Unidos,Sarasota
330,Estados Unidos,Irvine
566,Estados Unidos,Maryville
155,Alemania,Bottrop
378,Estados Unidos,Vacaville
195,Francia,Paris
217,Francia,Paris La Defense
636,Estados Unidos,Sammamish
272,Reino Unido,Warrington
179,Francia,Saint Ouen
549,Estados Unidos,Springfield
466,Estados Unidos,Novi
15,Australia,Silverwater
400,Estados Unidos,Westport
92,Canada,Scarborough
4,Australia,Goulburn
491,Estados Unidos,Billings
423,Estados Unidos,La Grange
289,Estados Unidos,Scottsdale
343,Estados Unidos,National City
87,Canada,Ottawa
431,Estados Unidos,Carol Stream
247,Reino Unido,London
477,Estados Unidos,Edina
167,Alemania,Frankfurt am Main
26,Australia,Rockhampton
229,Reino Unido,Berks
52,Canada,Langley
242,Reino Unido,Lancaster
649,Estados Unidos,Johnson Creek
117,Alemania,Erlangen
76,Canada,Brampton
604,Estados Unidos,Leesburg
442,Estados Unidos,Fort Wayne
489,Estados Unidos,Gulfport
608,Estados Unidos,Bellevue
124,Alemania,Berlin
283,Estados Unidos,Mobile
268,Reino Unido,Liverpool
621,Estados Unidos,Kennewick
294,Estados Unidos,Auburn
67,Canada,Surrey
307,Estados Unidos,Chula Vista
280,Estados Unidos,Birmingham
136,Alemania,Ascheim
355,Estados Unidos,Redwood City
402,Estados Unidos,Bradenton
320,Estados Unidos,Eureka
368,Estados Unidos,Santa Cruz
147,Alemania,Hamburg
415,Estados Unidos,Vero Beach
501,Estados Unidos,Hooksett
83,Canada,Mississauga
569,Estados Unidos,Nashville
158,Alemania,Leipzig
381,Estados Unidos,Vista
202,Francia,Paris
639,Estados Unidos,Sequim
127,Alemania,Darmstadt
209,Francia,Versailles
170,Alemania,Münster
275,Reino Unido,Wokingham
33,Australia,Cranbourne
552,Estados Unidos,W. Linn
469,Estados Unidos,Redford
18,Australia,Sydney
595,Estados Unidos,Cedar City
7,Australia,Malabar
655,Estados Unidos,Rock Springs
426,Estados Unidos,Savannah
259,Reino Unido,Milton Keynes
58,Canada,Newton
165,Alemania,Berlin
180,Francia,Colomiers
434,Estados Unidos,Joliet
495,Estados Unidos,Greensboro
254,Reino Unido,London
177,Alemania,Stuttgart
577,Estados Unidos,Corpus Christi
480,Estados Unidos,Woodbury
145,Alemania,Frankfurt am Main
232,Reino Unido,Birmingham
388,Estados Unidos,Greeley
652,Estados Unidos,Racine
450,Estados Unidos,Newport
120,Alemania,Hof
79,Canada,Kanata
445,Estados Unidos,Michigan City
584,Estados Unidos,Irving
187,Francia,Lille
611,Estados Unidos,Bremerton
194,Francia,Paris
515,Estados Unidos,Clay
271,Reino Unido,Warrington
624,Estados Unidos,Lacey
212,Francia,Morangis
297,Estados Unidos,Bell Gardens
41,Canada,Calgary
345,Estados Unidos,Newport Beach
310,Estados Unidos,Colma
168,Alemania,Kiel
531,Estados Unidos,Mentor
334,Estados Unidos,Lakewood
358,Estados Unidos,San Carlos
405,Estados Unidos,Hollywood
323,Estados Unidos,Fullerton
371,Estados Unidos,Simi Valley
629,Estados Unidos,Newport Hills
504,Estados Unidos,Tilton
384,Estados Unidos,Whittier
642,Estados Unidos,Tacoma
173,Alemania,Poing
246,Reino Unido,London
8,Australia,Matraville
36,Australia,Melton
393,Estados Unidos,East Haven
166,Alemania,Frankfurt am Main
472,Estados Unidos,Southgate
529,Estados Unidos,Holland
598,Estados Unidos,Riverton
416,Estados Unidos,Atlanta
221,Francia,Drancy
437,Estados Unidos,Peoria
498,Estados Unidos,Rocky Mount
580,Estados Unidos,Garland
123,Alemania,Berlin
235,Reino Unido,Cambridge
455,Estados Unidos,Randolph
391,Estados Unidos,Parker
181,Francia,Aujan Mournede
527,Estados Unidos,Euclid
481,Estados Unidos,Branson
30,Australia,Perth
279,Reino Unido,York
107,Canada,Montreal
82,Canada,Mississauga
587,Estados Unidos,Laredo
190,Francia,Villeneuve-d'Ascq
614,Estados Unidos,Edmonds
201,Francia,Paris
518,Estados Unidos,Ithaca
556,Estados Unidos,Woonsocket
163,Alemania,Berlin
538,Estados Unidos,Clackamas
627,Estados Unidos,Marysville
300,Estados Unidos,Beverly Hills
102,Canada,Dorval
348,Estados Unidos,Oakland
510,Estados Unidos,North Las Vegas
313,Estados Unidos,Culver City
159,Alemania,München
534,Estados Unidos,Springdale
337,Estados Unidos,Long Beach
361,Estados Unidos,San Gabriel
408,Estados Unidos,Merritt Island
326,Estados Unidos,Grossmont
562,Estados Unidos,Crossville
374,Estados Unidos,Torrance
57,Canada,Newton
632,Estados Unidos,Port Orchard
505,Estados Unidos,Las Cruces
645,Estados Unidos,Washougal
545,Estados Unidos,Milwaukie
253,Reino Unido,London
176,Alemania,Stuttgart
462,Estados Unidos,Howell
11,Australia,North Ryde
39,Australia,Sunbury
396,Estados Unidos,Milford
601,Estados Unidos,Tooele
419,Estados Unidos,Byron
62,Canada,Royal Oak
544,Estados Unidos,Medford
285,Estados Unidos,Chandler
224,Francia,Tremblay-en-France
141,Alemania,Berlin
440,Estados Unidos,Wood Dale
22,Australia,East Brisbane
115,Alemania,Eilenburg
572,Estados Unidos,Austin
193,Francia,Paris
48,Canada,Burnaby
238,Reino Unido,Gateshead
484,Estados Unidos,Kansas City
134,Alemania,München
559,Estados Unidos,Myrtle Beach
110,Canada,Quebec
430,Estados Unidos,Sandpoint
590,Estados Unidos,Round Rock
264,Reino Unido,Oxon
617,Estados Unidos,Federal Way
521,Estados Unidos,New Hartford
541,Estados Unidos,Klamath Falls
245,Reino Unido,London
303,Estados Unidos,Camarillo
31,Australia,Hobart
351,Estados Unidos,Oxnard
316,Estados Unidos,El Cajon
340,Estados Unidos,Milpitas
364,Estados Unidos,San Ramon
411,Estados Unidos,Orlando
